TransactionID,SaleDate,CustomerID,ProductID,StoreID,CampaignID,SaleAmount,Shipping,State
1.0,2025-05-04,1034.0,2059.0,402.0,0.0,2048.2,89.76,KS
2.0,2025-05-04,1066.0,2048.0,403.0,1.0,321.87,71.63,OK
3.0,2025-05-04,1116.0,2041.0,403.0,3.0,3216.84,25.45,AR
4.0,2025-05-04,1071.0,2096.0,404.0,2.0,1613.23,97.45,OK
5.0,2025-05-04,1020.0,2060.0,401.0,0.0,408.38,67.82,IL
6.0,2025-05-04,1089.0,2028.0,401.0,0.0,1275.88,38.75,IL
7.0,2025-05-04,1193.0,2003.0,402.0,1.0,346.66,30.65,CO
8.0,2025-05-04,1005.0,2079.0,402.0,1.0,855.49,30.44,NE
9.0,2025-05-04,1032.0,2060.0,401.0,1.0,735.08,18.57,IA
10.0,2025-05-04,1119.0,2089.0,403.0,2.0,661.63,99.77,CO
11.0,2025-05-04,1042.0,2077.0,401.0,0.0,505.65,41.55,MN
12.0,2025-05-04,1079.0,2013.0,401.0,2.0,0.0,69.76,CO
14.0,2025-05-04,1183.0,2025.0,401.0,1.0,503.32,77.44,CO
15.0,2025-05-04,1026.0,2089.0,403.0,0.0,413.52,98.61,IL
16.0,2025-05-04,1144.0,2005.0,403.0,3.0,1715.12,77.75,IA
17.0,2025-05-04,1169.0,2047.0,401.0,2.0,535.97,76.75,NE
19.0,2025-05-04,1110.0,2046.0,404.0,1.0,30.09,86.67,KS
20.0,2025-05-04,1111.0,2022.0,403.0,3.0,671.18,28.08,TX
22.0,2025-05-04,1062.0,2011.0,403.0,3.0,1229.22,31.46,NE
23.0,2025-05-04,1062.0,2096.0,404.0,3.0,672.18,0.0,NE
24.0,2025-05-04,1086.0,2003.0,404.0,2.0,924.43,93.02,TX
25.0,2025-05-04,1046.0,2062.0,402.0,2.0,1981.95,10.56,CO
26.0,2025-05-04,1066.0,2043.0,403.0,2.0,698.76,53.24,IA
27.0,2025-05-04,1142.0,2001.0,402.0,0.0,1237.05,8.78,KS
28.0,2025-05-04,1061.0,2092.0,404.0,3.0,482.21,42.6,IL
31.0,,1004.0,2011.0,403.0,1.0,737.53,14.84,IA
32.0,2025-05-04,1103.0,2088.0,402.0,2.0,0.0,70.31,IL
