TransactionID,SaleDate,CustomerID,ProductID,StoreID,CampaignID,SaleAmount,Shipping,State
1,5/4/2025,1034,2059,402,0,2048.2,89.76,KS
2,5/4/2025,1066,2048,403,1,321.87,71.63,OK
3,5/4/2025,1116,2041,403,3,3216.84,25.45,AR
4,5/4/2025,1071,2096,404,2,1613.23,97.45,OK
5,5/4/2025,1020,2060,401,0,408.38,67.82,IL
6,5/4/2025,1089,2028,401,0,1275.88,38.75,IL
7,5/4/2025,1193,2003,402,1,346.66,30.65,CO
8,5/4/2025,1005,2079,402,1,855.49,30.44,NE
9,5/4/2025,1032,2060,401,1,735.08,18.57,IA
10,5/4/2025,1119,2089,403,2,661.63,99.77,CO
11,5/4/2025,1042,2077,401,,505.65,41.55,MN
12,5/4/2025,1079,2013,401,2,0,69.76,CO
13,5/4/2025,1147,2086,404,3,4470.5,73.37,CO
14,5/4/2025,1183,2025,401,1,503.32,77.44,CO
15,5/4/2025,1026,2089,403,0,413.52,98.61,IL
16,5/4/2025,1144,2005,403,3,1715.12,77.75,IA
17,5/4/2025,1169,2047,401,2,535.97,76.75,NE
18,5/4/2025,1003,2053,404,0,3660.9,11.08,MO
19,5/4/2025,1110,2046,404,1,30.09,86.67,KS
20,5/4/2025,1111,2022,403,3,671.18,28.08,TX
21,5/4/2025,1119,2055,403,2,?,68.97,KS
22,5/4/2025,1062,2011,403,3,1229.22,31.46,NE
23,5/4/2025,1062,2096,404,3,672.18,free,NE
24,5/4/2025,1086,2003,404,2,924.43,93.02,TX
25,5/4/2025,1046,2062,402,2,1981.95,10.56,CO
26,5/4/2025,1066,2043,403,2,698.76,53.24,IA
27,5/4/2025,1142,2001,402,0,1237.05,8.78,KS
28,5/4/2025,1061,2092,404,3,482.21,42.6,IL
29,5/4/2025,1142,2097,402,3,4210.5,58.48,KS
30,5/4/2025,1165,2091,404,3,4528.95,19.99,CO
31,2023-13-01,1004,2011,403,1,737.53,14.84,IA
32,5/4/2025,1103,2088,402,2,0,70.31,IL
33,5/4/2025,1169,2074,403,3,0,NaN,IL
34,5/4/2025,1141,2067,403,3,872.85,19.16,MO
35,5/4/2025,1190,2070,403,2,54.69,86.77,AR
36,5/4/2025,1179,2058,403,2,1066.8,19.68,NE
37,5/4/2025,1064,2029,401,1,12.16,36.56,OK
38,5/4/2025,1080,2015,402,1,3037.36,86.57,NE
39,5/4/2025,1055,2094,404,2,1578.72,42.85,IL
40,5/4/2025,1185,2075,403,0,0,94.23,KS
41,5/4/2025,9999,2037,402,2,288.11,37.84,AR
42,5/4/2025,1045,2038,401,1,1667.72,54.39,CO
43,5/4/2025,1070,2005,401,2,686.05,64.2,KS
44,5/4/2025,1178,2016,404,0,0,44.94,OK
45,5/4/2025,1003,2073,403,3,1498.29,45.84,MN
46,5/4/2025,1122,2056,403,1,944.5,74.92,KS
47,5/4/2025,1013,2032,404,0,2836.8,81.62,XX
48,5/4/2025,1016,2051,404,0,117.32,41.48,OK
49,5/4/2025,1147,2080,401,1,0,49.13,CO
50,5/4/2025,1038,2072,403,0,840.6,95.25,TX
51,5/4/2025,1063,2015,404,1,1214.95,50.09,IL
52,5/4/2025,1198,2066,404,3,516.06,27.28,AR
53,5/4/2025,1113,2038,404,2,2223.62,43.72,CO
54,5/4/2025,1145,2079,401,0,1901.08,"1,200",OK
55,5/4/2025,1195,2026,402,2,507.74,56.88,MN
56,5/4/2025,1169,2010,402,1,140.11,73.8,TX
57,5/4/2025,1044,2070,401,1,0,45.72,TX
58,5/4/2025,1000,2052,404,3,2193.78,95.36,OK
59,5/4/2025,1074,2004,402,2,741.8,79.22,MO
60,5/4/2025,1180,2036,404,0,217.98,95.04,TX
61,5/4/2025,1175,2029,403,1,36.48,96.65,KS
62,5/4/2025,1108,2014,402,1,221.67,61.25,NE
63,5/4/2025,1068,2018,401,0,2169.04,37.98,OK
64,5/4/2025,1042,2039,403,3,2929.32,51.57,OK
65,5/4/2025,1031,2059,403,3,0,30.66,CO
66,5/4/2025,1069,2064,404,3,1470.2,31.5,TX
67,5/4/2025,1020,2076,401,3,4836.42,22.27,NE
68,5/4/2025,1188,2041,403,0,1608.42,13.13,OK
69,5/4/2025,1023,2029,401,2,0,26.05,NE
70,5/4/2025,1147,2005,402,3,0,71.77,IL
71,5/4/2025,1132,2083,404,2,614.53,23.2,TX
72,5/4/2025,1046,2074,404,3,659.5,39.28,K S
73,5/4/2025,1023,2060,403,3,1225.14,51.63,MO
74,5/4/2025,1085,2041,401,1,1447.58,83.1,OK
75,5/4/2025,1084,2052,404,2,2925.04,28.58,CO
76,5/4/2025,1169,2051,401,3,117.32,86.72,OK
77,5/4/2025,1022,2040,403,2,55.26,12.71,NE
78,5/4/2025,1029,2098,404,0,3631.44,72.16,TX
79,5/4/2025,1168,2069,404,3,232.39,26.36,IA
80,5/4/2025,1013,2024,403,3,372.81,32.42,KS
81,5/4/2025,1160,2056,401,1,472.25,20 usd,AR
82,5/4/2025,1068,2070,402,2,109.38,68.87,IL
83,5/4/2025,1112,2089,404,0,2067.6,46.41,TX
84,5/4/2025,1007,2080,402,1,1498.07,52.07,OK
85,5/4/2025,1079,2070,401,3,34.18,53.89,MO
86,5/4/2025,1023,2028,401,3,2551.76,77.2,NE
87,5/4/2025,1030,2082,402,3,799.8,80.93,IA
88,5/4/2025,1183,2037,403,3,2160.84,66.53,IA
89,5/4/2025,1123,2060,402,3,2450.28,57.37,OK
90,5/4/2025,1141,2018,404,1,2440.17,93.75,CO
91,5/4/2025,1153,2065,402,0,470.34,47.42,TX
92,5/4/2025,1070,2098,404,2,0,59.32,NE
93,5/4/2025,1129,2034,401,2,108.94,80.28,IA
94,5/4/2025,1185,2038,404,1,1667.72,91.49,MO
95,5/4/2025,1114,2068,404,2,656.19,42.76,KS
96,5/4/2025,1085,2070,404,3,0,87.88,MO
97,5/4/2025,1082,2024,402,3,372.81,65.21,KS
98,5/4/2025,1059,2099,404,0,1292.64,32.87,AR
99,5/4/2025,1081,2095,404,3,490.79,41.34,NE
100,5/4/2025,1098,2084,402,3,0,49.2,IL
101,5/4/2025,1009,2016,403,0,969.06,48.4,IL
102,5/4/2025,1112,2012,404,0,1869.57,33.05,OK
103,5/4/2025,1184,2018,404,1,488.03,90.78,NE
104,5/4/2025,1019,2060,403,2,0,84.64,KS
105,5/4/2025,1159,2088,404,0,0,17.48,IL
106,5/4/2025,1084,2086,404,2,2861.12,30.89,IA
107,5/4/2025,1160,2091,404,0,905.79,18.37,NE
108,5/4/2025,1158,2008,402,2,159.82,48.2,IL
109,5/4/2025,1058,2095,401,3,2453.95,58.33,MN
110,5/4/2025,1025,2097,401,3,842.1,94.89,IL
111,5/4/2025,1042,2088,403,0,709.35,94.87,OK
112,5/4/2025,1011,2041,401,2,0,31.58,AR
113,5/4/2025,1091,2047,404,1,0,39.07,OK
114,5/4/2025,1062,2067,404,1,0,9.8,AR
115,5/4/2025,1043,2022,401,3,2684.72,87.62,AR
116,5/4/2025,1158,2087,402,3,477.96,80.86,KS
117,5/4/2025,1149,2018,402,3,1626.78,9.98,OK
118,5/4/2025,1163,2032,404,2,756.48,94.81,MO
119,5/4/2025,1170,2001,404,2,659.76,85.49,OK
120,5/4/2025,1173,2069,402,0,464.78,31.13,MN
121,5/4/2025,1113,2044,403,3,0,15.87,CO
122,5/4/2025,1176,2032,404,2,756.48,34.69,AR
123,5/4/2025,1050,2049,404,0,2819.52,14.17,AR
124,5/4/2025,1060,2048,403,2,1144.42,94.41,OK
125,5/4/2025,1179,2037,401,3,1440.56,67.39,NE
126,5/4/2025,1070,2001,401,3,0,58.29,MN
127,5/4/2025,1073,2099,402,2,0,71.76,IL
128,5/4/2025,1056,2081,402,2,0,7.91,CO
129,5/4/2025,1173,2096,402,0,672.18,13.07,MO
130,5/4/2025,1160,2082,401,2,426.56,44.35,NE
131,5/4/2025,1112,2004,403,1,1669.05,9.31,OK
132,5/4/2025,1023,2037,403,3,2160.84,16.4,TX
133,5/4/2025,1044,2025,402,2,223.7,11.85,MO
134,5/4/2025,1135,2064,403,1,793.91,15.94,MO
135,5/4/2025,1065,2061,403,2,639.74,15.06,OK
136,5/4/2025,1029,2059,401,1,921.69,65.16,CO
137,5/4/2025,1193,2028,404,2,1531.06,18.91,NE
138,5/4/2025,1023,2050,401,2,298.85,58.55,MN
139,5/4/2025,1137,2015,404,2,539.98,19.34,KS
140,5/4/2025,1172,2095,403,3,2453.95,8.57,AR
141,5/4/2025,1163,2047,401,1,301.48,80.22,MO
142,5/4/2025,1120,2003,403,1,1039.99,14.83,AR
143,5/4/2025,1165,2008,404,2,53.27,99.14,CO
144,5/4/2025,1166,2052,401,1,658.13,64.93,AR
145,5/4/2025,1011,2004,403,3,3709,87.96,AR
146,5/4/2025,1029,2012,402,1,0,72.34,KS
147,5/4/2025,1099,2058,403,3,666.75,70.11,CO
148,5/4/2025,1150,2095,402,3,490.79,95.36,AR
149,5/4/2025,1167,2012,404,3,0,56.28,MO 
150,5/4/2025,1071,2004,403,1,834.52,64.35,IA
151,5/4/2025,1113,2056,402,2,839.55,79.46,NE
152,5/4/2025,1025,2087,403,2,0,46.86,IL
153,5/4/2025,1015,2050,403,1,504.31,65.91,AR
154,5/4/2025,1031,2058,401,1,2400.3,91,IA
155,5/4/2025,1164,2081,401,0,2984.88,42.66,AR
156,5/4/2025,1085,2031,402,1,508.77,84.72,AR
